AssetName,TickerSymbol,AssetType,CurrentPrice
Nabil Bank,NABIL,Equity,1250.0
NIC Asia Bank,NICA,Equity,750.0
Shivam Cements,SHIVM,Equity,550.0
Himalayan Distillery,HDL,Equity,3200.0
Nepal Telecom,NTC,Equity,900.0
Upper Tamakoshi,UPPER,Equity,450.0
Nepal Life Insurance,NLIC,Equity,1100.0
Citizen Investment Trust,CIT,Equity,2800.0
Salt Trading,STC,Equity,4500.0
Nepal Reinsurance,NRIC,Equity,850.0
Global IME Bank,GBIME,Equity,280.0
Prabhu Bank,PRVU,Equity,240.0
Siddhartha Bank,SBL,Equity,310.0
Sanima Bank,SANIMA,Equity,330.0
Everest Bank,EBL,Equity,520.0
Standard Chartered,SCB,Equity,510.0
Nepal Investment Mega,NIMB,Equity,260.0
Agricultural Dev Bank,ADBL,Equity,380.0
NMB Bank,NMB,Equity,290.0
Nepal Bank,NBL,Equity,270.0
NIMB Debenture 2085,NIMBD85,Debt,1000.0
Nabil Debenture,NABILD,Debt,1000.0
Govt Bond 2080,GB2080,Debt,1000.0
